run_id,h2o2_ml,acid_M,time_s,temp_C,tds,turbidity,tds_min,delta_tds,recovery,tds_rate,temp_rate,valid_flag,time_rel,dts
1,0,0.5,0.5,50.88,1605.6,449,1430.4,175.2,0.03504,,,0,0,
1,0,0.5,2,50.94,1604.3,451,1430.4,173.9,0.03478,-0.86667,0.04,0,1.5,1.5
1,0,0.5,3.5,51.06,1601.7,451,1430.4,171.3,0.03426,-1.73333,0.08,0,3,1.5
1,0,0.5,5,51.13,1600.3,448,1430.4,169.9,0.03398,-0.93333,0.046667,0,4.5,1.5
1,0,0.5,6.5,51.19,1599,448,1430.4,168.6,0.03372,-0.86667,0.04,0,6,1.5
1,0,0.5,8,51.31,1596.4,450,1430.4,166,0.0332,-1.73333,0.08,0,7.5,1.5
1,0,0.5,9.5,51.38,1595.1,447,1430.4,164.7,0.03294,-0.86667,0.046667,0,9,1.5
1,0,0.5,11.1,51.5,1592.5,449,1430.4,162.1,0.03242,-1.625,0.075,0,10.6,1.6
1,0,0.5,12.6,51.56,1591.2,451,1430.4,160.8,0.03216,-0.86667,0.04,0,12.1,1.5
1,0,0.5,14.1,51.63,1589.9,447,1430.4,159.5,0.0319,-0.86667,0.046667,0,13.6,1.5
1,0,0.5,15.6,51.69,1588.6,447,1430.4,158.2,0.03164,-0.86667,0.04,1,15.1,1.5
1,0,0.5,17.1,51.75,1587.3,448,1430.4,156.9,0.03138,-0.86667,0.04,1,16.6,1.5
1,0,0.5,18.6,51.88,1584.7,448,1430.4,154.3,0.03086,-1.73333,0.086667,1,18.1,1.5
1,0,0.5,20.1,52,1579,448,1430.4,148.6,0.02972,-3.8,0.08,1,19.6,1.5
1,0,0.5,21.6,52,1582.2,447,1430.4,151.8,0.03036,2.133333,0,1,21.1,1.5
1,0,0.5,23.1,52.13,1579.6,445,1430.4,149.2,0.02984,-1.73333,0.086667,1,22.6,1.5
1,0,0.5,24.6,52.19,1578.3,447,1430.4,147.9,0.02958,-0.86667,0.04,1,24.1,1.5
1,0,0.5,26.1,52.25,1577,449,1430.4,146.6,0.02932,-0.86667,0.04,1,25.6,1.5
1,0,0.5,27.6,52.31,1575.8,448,1430.4,145.4,0.02908,-0.8,0.04,1,27.1,1.5
1,0,0.5,29.1,52.38,1574.5,447,1430.4,144.1,0.02882,-0.86667,0.046667,1,28.6,1.5
1,0,0.5,30.6,52.5,1568.8,449,1430.4,138.4,0.02768,-3.8,0.08,1,30.1,1.5
1,0,0.5,32.1,52.56,1567.5,448,1430.4,137.1,0.02742,-0.86667,0.04,1,31.6,1.5
1,0,0.5,33.7,52.63,1569.4,448,1430.4,139,0.0278,1.1875,0.04375,1,33.2,1.6
1,0,0.5,35.2,52.69,1568.2,449,1430.4,137.8,0.02756,-0.8,0.04,1,34.7,1.5
1,0,0.5,36.7,52.81,1565.6,448,1430.4,135.2,0.02704,-1.73333,0.08,1,36.2,1.5
1,0,0.5,38.2,52.88,1564.4,449,1430.4,134,0.0268,-0.8,0.046667,1,37.7,1.5
1,0,0.5,39.7,52.94,1560,449,1430.4,129.6,0.02592,-2.93333,0.04,1,39.2,1.5
1,0,0.5,41.2,53,1561.9,450,1430.4,131.5,0.0263,1.266667,0.04,1,40.7,1.5
1,0,0.5,42.7,53.06,1560.6,453,1430.4,130.2,0.02604,-0.86667,0.04,1,42.2,1.5
1,0,0.5,44.2,53.13,1559.4,452,1430.4,129,0.0258,-0.8,0.046667,1,43.7,1.5
1,0,0.5,45.7,53.19,1558.1,452,1430.4,127.7,0.02554,-0.86667,0.04,1,45.2,1.5
1,0,0.5,47.2,53.25,1556.9,451,1430.4,126.5,0.0253,-0.8,0.04,1,46.7,1.5
1,0,0.5,48.7,53.31,1555.6,451,1430.4,125.2,0.02504,-0.86667,0.04,1,48.2,1.5
1,0,0.5,50.2,53.38,1554.4,452,1430.4,124,0.0248,-0.8,0.046667,1,49.7,1.5
1,0,0.5,51.7,53.44,1553.2,455,1430.4,122.8,0.02456,-0.8,0.04,1,51.2,1.5
1,0,0.5,53.2,53.5,1551.9,452,1430.4,121.5,0.0243,-0.86667,0.04,1,52.7,1.5
1,0,0.5,54.7,53.56,1550.7,459,1430.4,120.3,0.02406,-0.8,0.04,1,54.2,1.5
1,0,0.5,56.3,53.63,1549.5,462,1430.4,119.1,0.02382,-0.75,0.04375,1,55.8,1.6
1,0,0.5,57.8,53.69,1548.2,457,1430.4,117.8,0.02356,-0.86667,0.04,1,57.3,1.5
1,0,0.5,59.3,53.75,1547,455,1430.4,116.6,0.02332,-0.8,0.04,1,58.8,1.5
1,0,0.5,60.8,53.88,1544.5,457,1430.4,114.1,0.02282,-1.66667,0.086667,1,60.3,1.5
1,0,0.5,62.3,53.88,1544.5,456,1430.4,114.1,0.02282,0,0,1,61.8,1.5
1,0,0.5,63.8,53.94,1543.3,458,1430.4,112.9,0.02258,-0.8,0.04,1,63.3,1.5
1,0,0.5,65.3,54,1539,455,1430.4,108.6,0.02172,-2.86667,0.04,1,64.8,1.5
1,0,0.5,66.8,54.06,1540.9,456,1430.4,110.5,0.0221,1.266667,0.04,1,66.3,1.5
